"id";"question";"option_one";"option_two";"option_three";"option_four";"correct_answer";"certificate_type"
431;"Which of the following has highest level of independence in which test cases
are:";"A. Designed by persons who write the software under test";"B. Designed by a person from a different section";"C. Designed by a person from a different organization";"D. Designed by another person";3;
432;"Test planning has which of the following major tasks?

i. Determining the scope and risks, and identifying the objectives of testing.
ii. Determining the test approach (techniques,test items, coverage, identifying and
interfacing the teams involved in testing , testware)
iii. Reviewing the Test Basis (such as requirements,architecture,design,interface)
iv. Determining the exit criteria.";"A. i,ii,iv are true and iii is false";"B. i,,iv are true and ii is false";"C. i,ii are true and iii,iv are false";"D. ii,iii,iv are true and i is false";1;
433;"Deciding How much testing is enough should take into account :-

i. Level of Risk including Technical and Business product and project risk
ii. Project constraints such as time and budget
iii. Size of Testing Team
iv. Size of the Development Team";"A. i,ii,iii are true and iv is false";"B. i,,iv are true and ii is false";"C. i,ii are true and iii,iv are false";"D. ii,iii,iv are true and i is false";3;
434;"Which of the following will be the best definition for Testing:";"A. The goal / purpose of testing is to demonstrate that the program works.";"B. The purpose of testing is to demonstrate that the program is defect free.";"C. The purpose of testing is to demonstrate that the program does what it is supposed to
do.";"D. Testing is executing Software for the purpose of finding defects.";4;
435;"Minimum Tests Required for Statement Coverage and Branch Coverage:

Read P
Read Q
If p+q > 100 then
Print ""Large""
End if
If p > 50 then
Print ""pLarge""
End if";"A. Statement coverage is 2, Branch Coverage is 2";"B. Statement coverage is 3 and branch coverage is 2";"C. Statement coverage is 1 and branch coverage is 2";"D. Statement Coverage is 4 and Branch coverage is 2";3;
436;"Match every stage of the software Development Life cycle with the Testing Life
cycle:

i. Hi-level design a Unit tests
ii. Code b Acceptance tests
iii. Low-level design c System tests
iv. Business requirements d Integration tests";"A. i-d , ii-a , iii-c , iv-b";"B. i-c , ii-d , iii-a , iv-b";"C. i-b , ii-a , iii-d , iv-c";"D. i-c , ii-a , iii-d , iv-b";4;
437;"Which of the following is a part of Test Closure Activities?

i. Checking which planned deliverables have been delivered
ii. Defect report analysis.
iii. Finalizing and archiving testware.
iv. Analyzing lessons.";"A. i , ii , iv are true and iii is false";"B. i , ii , iii are true and iv is false";"C. i , iii , iv are true and ii is false";"D. All of above are true";3;
438;"Which of the following is NOT part of a high level test plan?";"A. Functions not to be tested.";"B. Environmental requirements.";"C. Analysis of Specifications.";"D. Entry and Exit criteria.";3;
439;"If a candidate is given an exam of 40 questions, should get 25 marks to pass
(61%) and should get 80% for distinction, what is equivalence class.";"A. 23, 24, 25";"B. 0, 12, 25";"C. 30, 36, 39";"D. 32,37,40";4;
440;"Which of the following statements is true of static analysis:";"A. Compiling code is not a form of static analysis.";"B. Static analysis need not be performed before imperative code is executed.";"C. Static analysis can find faults that are hard to find with dynamic testing.";"D. Extensive statistic analysis will not be needed if white- Box testing is to be performed.";1;
441;"In a system designed to work out the tax to be paid: An employee has $4000 of
salary tax free. The next $1500 is taxed at 10% The next $28000 is taxed at 22% Any
further amount is taxed at 40%
Which of these groups of numbers would fall into the same equivalence class?";"A. $5800; $28000; $32000";"B. $0; $200; $4200";"C. $5200; $5500; $28000";"D. $28001; $32000; $35000";1;
442;"Cost of the reviews will not include.";"A. Review process itself";"B. Metrics analysis";"C. Tool support.";"D. Process improvement.";3;
443;"Regression testing always involves";"A. Testing whether a known software fault been fixed.";"B. Executing a large number of different tests.";"C. Testing whether modifications have introduced adverse side effects.";"D. Using a test automation tool.";3;
444;"Capture and replay facilities are least likely to be used to _______";"A. Performance testing";"B. Recovery testing";"C. GUI testing";"D. User requirements.";4;
445;"Which tool will be used to test the flag memory leaks and unassigned pointers";"A. Dynamic analysis tool";"B. Static Analysis tool.";"C. Maintenance tool.";"D. Configuration tool.";1;
446;"Cyclomatic complexity is used to calculate";"A. Number of independent paths in the basis set of a program";"B. Number of binary decisions + 1";"C. Number bound for the number of tests that must be conducted to ensure that all
statements have been executed at least once";"D. Number of branches and decisions";2;
447;"Which of the following is not included in Test Plan.";"A. Features to be tested.";"B. Environmental needs.";"C. Suspension criteria.";"D. Expected results.";4;
448;"Software quality is not relevant to _______";"A. Correctness";"B. Usability";"C. Viability";"D. Reusability.";3;
449;"Match the following:

1. Test estimation
2. Test control
3. Test monitoring

a. Measures of tracking process
b. Effort required to perform activities
c. Reallocation of resources";"A. 1-b, 2-c, 3-a";"B. 1-b, 2-a, 3-c";"C. 1-c, 2-a, 3-b";"D. 1-a, 2-b, 3-c";1;
450;"When do you stop testing?";"A. When the specified number of faults are found.";"B. When the test completion criteria are met.";"C. When all high and medium priority tests are complete.";"D. When all statements have been executed";2;
451;"What is the smallest number of test cases required to Provide 100% branch
coverage?
If(x>y) x=x+1;
else y=y+1;
ISTQB Sample Papers [2010 -2011]
61 www.ajoysingha.info
while(x>y)
{
y=x*y; x=x+1;
}";"A. 1";"B. 2";"C. 3";"D. 4";2;
452;"Match the following.

1. Configuration identification
2. Configuration control
3. Status reporting
4. Configuration auditing

a. Maintains of CIﾒs in a library
b. Checks on the contents of the library
c. Function recording and tracking problems.
d. Requires the all CIﾒs and their versions in the system are known";"A. 1-d, 2-c, 3-d, 4-a.";"B. 1-d, 2-a, 3-c, 4-b.";"C. 1-a, 2-b, 3-d, 4-c.";"D. 1-c, 2-b, 3-a, 4-d.";2;
453;"Integration testing in the large involves:";"A. Testing the system when combined with other systems.";"B. Testing a sub-system using stubs and drivers.";"C. Testing a system with a large number of users.";"D. Combing software components and testing them in one go.";1;
454;"One of the following is not a part of white box testing as per BS7925-II
standards.";"A. Random testing";"B. Data Flow testing.";"C. Statement testing.";"D. Syntax testing.";4;
455;"A piece of software has been given _______what tests in the Following will you
perform?

1) Test the areas most critical to business processes
2) Test the areas where faults will be maximum
3) Test the easiest functionalities";"A. 1&2 are true and 3 is false.";"B. 1,2&3 are true.";"C. 1 is true, 2&3 are false.";"D. 1&2 are false, 3 is true";1;
456;"Which of the following is a type of non-functional testing?";"A. Usability testing.";"B. Statement Coverage.";"C. Dataflow testing.";"D. Cause-effect graphing.";1;
457;"What type of testing will you perform on internet banking solution?";"A. System integration";"B. Functional testing";"C. Non-functional testing.";"D. Requirements testing";3;
458;"Which of the following are false?";"A. Incidents should always be investigated and resolved.";"B. Incidents occur when expected and actual results differ.";"C. Incidents can be analyzed to assist in test process improvement.";"D. An incident can be raised against documentation.";3;
459;"Testing is not done to ______";"A. Find faults";"B. Improve quality";"C. Check user friendliness.";"D. Improve software accuracy";4;
460;"A field failure occurs when multiple users access a system. Which of the
following is true?";"A. This is an acceptable risk of a multi-user system.";"B. Insufficient functional testing has been performed.";"C. This indicates an important non-functional requirement was not specified and tested.";"D. It is not possible to test against such events prior to release.";3;
461;"People who donﾒt participate in technical reviews";"A. Analysts";"B. Management";"C. Developers";"D. Testers";2;
462;"What is failure?";"A. Deviation from expected result to actual result";"B. Defect in the software.";"C. Error in the program code.";"D. Fault in the system.";1;
463;"Exclusive use of white box testing in a test-phase will:";"A. Ensure the test item is adequately tested.";"B. Make the need for black-box testing redundant.";"C. Run the risk that the requirements are not satisfied.";"D. Suffices for the unit testing phase.";3;
464;"Which of the following is least important in test management?";"A. Estimating test duration.";"B. Incident Management.";"C. Configuration Management.";"D. De-bugging.";4;
465;"A standard for software testing terminology is:";"A. IEEE 802.11";"B. ISO 9001";"C. BS 7925-1";"D. BS 7925-2";3;
466;"Which of the following is NOT a characteristic of User Acceptance Testing?";"A. Use of automated test execution tools.";"B. Testing performed by users.";"C. Testing against acceptance test criteria.";"D. Integration of system with user documentation.";1;
467;"Which of the following provides the biggest potential cost saving from use of
CAST?";"A. Test management";"B. Test design";"C. Test planning";"D. Test execution";4;
468;"What type of testing is done to supplement the rigorous testing?";"A. Regression testing.";"B. Integration testing.";"C. Error Guessing";"D. System testing.";3;
469;"To make a test effective it is most important that:";"A. It is easy to execute.";"B. It is designed to detect faults if present.";"C. The expected outcome is specified before execution.";"D. It is unlikely to delay progress.";3;
470;"Error guessing is:";"A. An appropriate way of deriving system tests.";"B. Only used if good requirements are not available.";"C. Only used when good requirements are available.";"D. The most appropriate way of deriving system tests.";4;
471;"Amount of testing performed will not depend on";"A. Risks involved";"B. Contractual requirements";"C. Legal requirements";"D. Test data.";4;
472;"For software to be reliable it must:";"A. Be easy to maintain.";"B. Be unlikely to cause a failure.";"C. Never fail under any circumstances.";"D. Be written according to coding standards";2;
473;"In a system designed to work out the tax to be paid: An employee has $4000 of
salary tax free. The next $1500 is taxed at 10% The next $28000 is taxed at 22% Any
further amount is taxed at 40%
To the nearest $ which of these is a valid Boundary Value Analysis test case?";"A. $1500";"B. $32001";"C. $28000";"D. $33501";4;
474;"Faults found by users are due to:";"A. Poor quality software";"B. Poor software and poor testing";"C. Bad luck";"D. Insufficient time for testing";2;
475;"An incident logging system";"A. Only records defects";"B. Is of limited value";"C. Is a valuable source of project information during testing if it contains all incidents";"D. Should be used only by the test team.";3;
476;"The later in the development life cycle a fault is discovered, the more
expensive it is to fix. Why?";"A. The documentation is poor, so it takes longer to find out what the software is doing.";"B. Wages are rising";"C. The fault has been built into more documentation,code,tests, etc";"D. None of the above";3;
477;"Which of the following is true?";"A. Component testing should be black box, system testing should be white box.";"B. If u find a lot of bugs in testing, you should not be very confident about the quality of
software";"C. The fewer bugs you find, the better your testing was";"D. The more tests you run, the more bugs you will find.";2;
478;"If the pseudo code below were a programming language ,how many tests are
required to achieve 100% statement coverage?
1. If x=3 then
2. Display_messageX;
3. If y=2 then
4. Display_messageY;
5. Else
6. Display_messageZ;
7. Else
8. Display_messageZ;";"A. 1";"B. 2";"C. 3";"D. 4";3;
479;"Software testing activities should start";"A. As soon as the code is written";"B. During the design stage";"C. When the requirements have been formally documented";"D. As soon as possible in the development life cycle";4;
480;"Using the same code example as question 17
{17: You have designed test cases to provide 100% statement and 100% decision
coverage for the following fragment of code.
if width > length
then
biggest_dimension = width
else
biggest_dimension = length
end_if
The following has been added to the bottom of the code fragment above.
print ""Biggest dimension is "" & biggest_dimension
print ""Width: "" & width
print ""Length: "" & length
ISTQB Sample Papers [2010 -2011]
6 www.ajoysingha.info
How many more test cases are required?}

,how many tests are required to
achieve 100% branch/decision coverage?";"A. 1";"B. 2";"C. 3";"D. 4";3;
481;"A test design technique is";"A. A process for selecting test cases";"B. A process for determining expected outputs";"C. A way to measure the quality of software";"D. A way to measure in a test plan what has to be done";1;
482;"What is the main reason for testing software before releasing it?";"A. To show that system will work after release";"B. To decide when the software is of sufficient quality to release";"C. To find as many bugs as possible before release";"D. To give information for a risk based decision about release";4;
483;"Testware(test cases, test dataset)";"A. Needs configuration management just like requirements, design and code";"B. Should be newly constructed for each new version of the software";"C. Is needed only until the software is released into production or use";"D. Does not need to be documented and commented, as it does not form part of the
released software system";1;
484;"Which of the following is NOT a standard related to testing?";"A. IEEE829";"B. IEEE610";"C. BS7925-1";"D. BS7925-2";2;
485;"In which order should tests be run?";"A. The most important tests first";"B. The most difficult tests first(to allow maximum time for fixing)";"C. The easiest tests first (to give initial confidence)";"D. The order they are thought of";1;
486;"A program validates a numeric field as follows:
Values less than 10 are rejected, values between 10 and 21 are accepted, values greater
than or equal to 22 are rejected. Which of the following covers the MOST boundary values?";"A. 9,10,11,22";"B. 9,10,21,22";"C. 10,11,21,22";"D. 10,11,20,21";2;
487;"Which of the following is not the integration strategy?";"A. Design based";"B. Big-bang";"C. Bottom-up";"D. Top-down";1;
488;"Which of the following tools would you use to detect a memory leak?";"A. State analysis";"B. Coverage analysis";"C. Dynamic analysis";"D. Memory analysis";3;
489;"Which of the following statements are true?";"A. Faults in program specifications are the most expensive to fix.";"B. Faults in code are the most expensive to fix.";"C. Faults in requirements are the most expensive to fix";"D. Faults in designs are the most expensive to fix.";3;
490;"Increasing the quality of the software, by better development methods, will
affect the time needed for testing (the test phases) by:";"A. Reducing test time";"B. No change";"C. Increasing test time";"D. Canﾒt say";1;
491;"Which of the following is a black box design technique?";"A. Statement testing";"B. Equivalence partitioning";"C. Error- guessing";"D. Usability testing";2;
492;"When reporting faults found to developers, testers should be:";"A. As polite, constructive and helpful as possible";"B. Firm about insisting that a bug is not a ""feature"" if it should be fixed";"C. Diplomatic, sensitive to the way they may react to criticism";"D. All of the above";4;
493;"Which of the following statements is not true";"A. Performance testing can be done during unit testing as well as during the testing of
whole system";"B. The acceptance test does not necessarily include a regression test";"C. Verification activities should not involve testers (reviews, inspections etc)";"D. Test environments should be as similar to production environments as possible";3;
494;"What is the important criterion in deciding what testing technique to use?";"A. How well you know a particular technique";"B. The objective of the test";"C. How appropriate the technique is for testing the application";"D. Whether there is a tool to support the technique";2;
495;"When should you stop testing?";"A. When time for testing has run out.";"B. When all planned tests have been run";"C. When the test completion criteria have been met";"D. When no faults have been found by the tests run";3;
496;"Coverage measurement";"A. Is nothing to do with testing";"B. Is a partial measure of test thoroughness";"C. Branch coverage should be mandatory for all software";"D. Can only be applied at unit or module testing, not at system testing";2;
497;"Which of the following is NOT a type of non-functional test?";"A. State-Transition";"B. Usability";"C. Performance";"D. Security";1;
498;"Which of the following is the component test standard?";"A. IEEE 829";"B. IEEE 610";"C. BS7925-1";"D. BS7925-2";4;
499;"A program validates a numeric field as follows:
Values less than 10 are rejected, values between 10 and 21 are accepted, values greater
than or equal to 22 are rejected. Which of the following input values cover all of the
equivalence partitions?";"A. 10,11,21";"B. 3,20,21";"C. 3,10,22";"D. 10,21,22";3;
500;"Which is not true-The black box tester";"A. Should be able to understand a functional specification or requirements document";"B. Should be able to understand the source code.";"C. Is highly motivated to find faults";"D. Is creative to find the systemﾒs weaknesses";2;
501;"Which of the following is a static test?";"A. Code inspection";"B. Coverage analysis";"C. Usability assessment";"D. Installation test";1;
502;"A program with high cyclometic complexity is almost likely to be:";"A. Large";"B. Small";"C. Difficult to write";"D. Difficult to test";4;
503;"Which of the following is the odd one out?";"A. White box";"B. Glass box";"C. Structural";"D. Functional";4;
504;"Which of the following techniques are black box techniques?";"A. State transition testing, code testing, agile testing";"B. Equivalence partitioning, state transition testing, decision table testing";"C. System testing, acceptance testing, equivalence partitioning";"D. System integration testing, system testing, decision table testing";2;
505;"A number of critical bugs are fixed in software. All the bugs are in one module,
related to reports. The test manager decides to do regression testing only on the
reports module.";"A. The test manager should do only automated regression testing.";"B. The test manager is justified in her decision because no bug has been fixed in other
modules";"C. The test manager should only do confirmation testing. There is no need to do regression
testing";"D. Regression testing should be done on other modules as well because fixing one module
may affect other modules";4;
506;"Which of the following statements contains a valid goal for a functional test set?";"A. A goal is that no more failures will result from the remaining defects";"B. A goal is to find as many failures as possible so that the cause of the failures can be
identified and fixed";"C. A goal is to eliminate as much as possible the causes of defects";"D. A goal is to fulfil all requirements for testing that are defined in the project plan.";2;
507;"What makes an inspection different from other review types?";"A. It is led by a trained leader, uses formal entry and exit criteria and checklists";"B. It is led by the author of the document to be inspected";"C. It can only be used for reviewing design and code";"D. It is led by the author, uses checklists, and collects data for improvement";1;
508;"Why does the boundary value analysis provide good test cases?";"A. Because it is an industry standard";"B. Because errors are frequently made during programming of the different cases near the
ﾑedgesﾒ of the range of values";"C. Because only equivalence classes that are equal from a functional point of view are
considered in the test cases";"D. Because the test object is tested under maximal load up to its performance limits";2;
509;"If a program is tested and 100% branch coverage is achieved, which of the
following coverage criteria is then guaranteed to be achieved?";"A. 100% Equivalence class coverage";"B. 100% Condition coverage and 100% Statement coverage";"C. 100% Statement coverage";"D. 100% Multiple condition coverage";2;
510;"A defect management system shall keep track of the status of every defect
registered and enforce the rules about changing these states. If your task is to test the
status tracking, which method would be best?";"A. Logic-based testing";"B. Use-case-based testing";"C. State transition testing";"D. Systematic testing according to the V-model";3;
511;"In system testingﾅ";"A. Both functional and non-functional requirements are to be tested";"B. Only functional requirements are tested; non-functional requirements are validated in a
review";"C. Only non-functional requirements are tested; functional requirements are validated in a
review";"D. Only requirements which are listed in the specification document are to be tested";1;
512;"Integration testing has following characteristics

I. It can be done in incremental manner
II. It is always done after system testing
III. It includes functional tests
IV. It includes non-functional tests";"A. I, II and III are correct";"B. I is correct";"C. I, III and IV are correct";"D. None are correct";3;
513;"Which of the following activities differentiate a walkthrough from a formal
review?";"A. A walkthrough does not follow a defined process";"B. For a walkthrough individual preparation by the reviewers is optional";"C. A walkthrough requires meeting";"D. A walkthrough finds the causes of failures, while formal review finds the failures";2;
514;"Why is testing necessary?";"A. Because testing is good method to make there are not defects in the software";"B. Because verification and validation are not enough to get to know the quality of the
software";"C. Because testing measures the quality of the software system and helps to increase the
quality";"D. Because testing finds more defects than reviews and inspections.";3;
515;"In foundation level syllabus you will find the main basic principles of testing.
Which of the following sentences describes one of these basic principles?";"A. Complete testing of software is attainable if you have enough resources and test tools";"B. With automated testing you can make statements with more confidence about the
quality of a product than with manual testing";"C. For a software system, it is not possible, under normal conditions, to test all input and
output combinations.";"D. A goal of testing is to show that the software is defect free.";3;
516;"Which of the following is true";"A. Testing is the same as quality assurance";"B. Testing is a part of quality assurance";"C. Testing is not a part of quality assurance";"D. Testing is same as debugging";2;
517;"This part of a program is given:

WHILE (condition A) Do B
END WHILE

How many decisions should be tested in this code in order to achieve 100% decision
coverage?";"A. 2";"B. Indefinite";"C. 1";"D. 4";1;
518;"In a flight reservation system, the number of available seats in each plane
model is an input. A plane may have any positive number of available seats, up to the
given capacity of the plane. Using Boundary Value analysis, a list of available ﾖ seat
values were generated. Which of the following lists is correct?";"A. 1, 2, capacity -1, capacity, capacity plus 1";"B. 0, 1, capacity, capacity plus 1";"C. 0, 1, 2, capacity plus 1, a very large number";"D. 0, 1, 10, 100, capacity, capacity plus one";2;
519;"Which of the following is a valid collection of equivalence classes for the
following problem: An integer field shall contain values from and including 1 to and
including 15";"A. Less than 1, 1 through 15, more than 15";"B. Negative numbers, 1 through 15, above 15";"C. Less than 1, 1 through 14, more than 15";"D. Less than 0, 1 through 14, 15 and more";1;
520;"Which of the following is correct about static analysis tools";"A. They help you find defects rather than failures";"B. They are used by developers only";"C. They require compilation of code";"D. They are useful only for regulated industries";1;
521;"Which of the following is most often considered as components interface bug?";"A. For two components exchanging data, one component used metric units, the other one
used British units";"B. The system is difficult to use due to a too complicated terminal input structure";"C. The messages for user input errors are misleading and not helpful for understanding the
input error cause";"D. Under high load, the system does not provide enough open ports to connect to";1;
522;"Which of the following is correct about static analysis tools?";"A. Static analysis tools are used only by developers";"B. Compilers may offer some support for static analysis";"C. Static analysis tools help find failures rather than defects";"D. Static analysis tools require execution of the code to analyze the coverage";2;
523;"Which of the following list contains only non-functional tests?";"A. Interoperability (compatibility) testing, reliability testing, performance testing";"B. System testing, performance testing";"C. Load testing, stress testing, component testing, portability testing";"D. Testing various configurations, beta testing, load testing";3;
524;"Which set of metrics can be used for monitoring of the test execution?";"A. Number of detected defects, testing cost;";"B. Number of residual defects in the test object.";"C. Percentage of completed tasks in the preparation of test environment; test cases
prepared";"D. Number of test cases run / not run; test cases passed / failed";4;
525;"What test items should be put under configuration management?";"A. The test object, the test material and the test environment";"B. The problem reports and the test material";"C. Only the test object. The test cases need to be adapted during agile testing";"D. The test object and the test material";1;
526;"This part of a program is given:

WHILE (condition A)
Do B
END WHILE

How many paths should be tested in this code in order to achieve 100% path coverage?";"A. One";"B. Indefinite";"C. Two";"D. Four";3;
527;"What is the purpose of test exit criteria in the test plan?";"A. To specify when to stop the testing activity";"B. To set the criteria used in generating test inputs";"C. To ensure that the test case specification is complete";"D. To know when a specific test has finished its execution";1;
528;"If a program is tested and 100% condition coverage is achieved, which of the
following coverage criteria is then guaranteed to be achieved?";"A. 100% branch coverage";"B. 100% condition coverage and 100% statement coverage";"C. Equivalence class and boundary value coverage";"D. No other white box coverage criterion is guaranteed to be fulfilled 100%";2;
529;"Which of the following can be root cause of a bug in a software product?

(I) The project had incomplete procedures for configuration management.
(II) The time schedule to develop a certain component was cut.
(III) the specification was unclear
(IV) Use of the code standard was not followed up
(V) The testers were not certified";"A. (I) and (II) are correct";"B. (I) through (IV) are correct";"C. (III) through (V) are correct";"D. (I), (II) and (IV) are correct";2;
530;"The following list contains risks that have been identified for a software
product to be developed. Which of these risks is an example of a product risk?";"A. Not enough qualified testers to complete the planned tests";"B. Software delivery is behind schedule";"C. Threat to a patientﾒs life";"D. 3rd party supplier does not supply as stipulated";3;
531;"Which of the following statements is correct?";"A. Static analysis tools produce statistics during program execution";"B. Configuration management systems allow us to provide accurate defect statistics of
different configurations";"C. Stress testing tools examine the behavior of the test object at or beyond full load";"D. Performance measurement tools can be used in all phases of software life-cycle";3;
532;"Which of the following project inputs influence testing?

(I) Contractual requirements
(II) Legal requirements(III) Industry standards
(IV) Application risk
(V) Project size";"A. (I) through (III) are correct";"B. All alternatives are correct";"C. (II) and (V) are correct";"D. (I), (III) and (V) are correct";2;
533;"A test engineer is testing a Video Player (VCR), and logs the following report:

Title: Fast Forward stops after 2 minutes. It happens every time
Expected result: Fast forward continues till the end of the tape
Severity: High
Priority: Urgent

What important information did the engineer leave out?";"A. Identification (Software and hardware) of the VCR";"B. Actual result";"C. History of the report";"D. Ideas for the test case improvement";1;
534;"Maintenance testing is:";"A. Testing management";"B. Synonym of testing the quality of service";"C. Triggered by modifications, migration or retirement of existing software";"D. Testing the level of maintenance by the vendor";3;
535;"Why is incremental integration preferred over ""big bang"" integration?";"A. Because incremental integration has better early defects screening and isolation ability";"B. Because ""big bang"" integration is suitable only for real time applications";"C. Incremental integration is preferred over ""Big Bang Integration"" only for ""bottom up""
development model";"D. Because incremental integration can compensate for weak and inadequate component
testing";1;
536;"V-Model is:";"A. A software development model that illustrates how testing activities integrate with
software development phases";"B. A software life-cycle model that is not relevant for testing";"C. The official software development and testing life-cycle model of ISTQB";"D. A testing life cycle model including unit, integration, system and acceptance phases";1;
537;"Which of the following items need not to be given in an incident report?";"A. The version number of the test object";"B. Test data and used environment";"C. Identification of the test case that failed";"D. The location and instructions on how to correct the fault";4;
538;"Test data planning essentially includes";"A. Network";"B. Operational Model";"C. Boundary value analysis";"D. Test Procedure Planning";4;
539;"Acceptance testing means";"A. Testing performed on a single stand ﾖ alone module or unit of code";"B. Testing after changes have been made to ensure that no unwanted changes were
introduced";"C. Testing to ensure that the system meets the needs of the organization and end user.";"D. Users test the application in the developers environment";3;
540;"The _______ testing should include operational tests of the new environment
as well as of the changed software";"A. System Testing";"B. Integration testing";"C. Component testing";"D. Maintenance testing";4;
541;" A risk-based approach to testing provides proactive opportunities to reduce the
levels of product risk, starting in the initial stages of a project";"A:TRUE";"B:FALSE";"C";"D";1;
542;" Functional testing is mostly";"A. Validation techniques";"B. Verification techniques";"C. Both of the above";"D. None of the above";1;
543;" Branch Coverage";"A. Another name for decision coverage";"B. Another name for all-edges coverage";"C. Another name for basic path coverage";"D. All the above";1;
544;" The _________ Is the activity where general testing objectives are transformed
into tangible test conditions and test designs";"A. Testing Planning";"B. Test Control";"C. Test analysis and design";"D. Test implementation";3;
545;" Integration testing where no incremental testing takes place prior to all the
systemﾒs components being combined to form the system.";"A. System testing";"B. Component Testing";"C. Incremental Testing";"D. Big bang testing";4;
546;" A test case design technique for a component in which test cases are designed
to execute statements is called as?";"A. State transition Testing";"B. Static Testing";"C. Transition testing";"D. Statement testing";4;
547;" Who should have technical and Business background.";"A. Moderator";"B. Author";"C. Reviewer";"D. Recorder";3;
548;" A test plan defines";"A. What is selected for testing";"B. Objectives and results";"C. Expected results";"D. Targets and misses";2;
549;"Component integration testing can be done";"A. Before Integration testing";"B. After unit testing";"C. After component testing";"D. After system testing";3;
550;"Test basis documentation is analyzed in which phase of testing";"A. Test Analysis";"B. Test Design";"C. Test Execution";"D. Test Planning";1;
551;" Which one is not the task of test leader?";"A. Coordinate the test strategy and plan with project managers and others";"B. Decide about the implementation of the test environment";"C. Write test summary reports";"D. Review and contribute to test plans";4;
552;" if (condition1 && (condition2 function1()))
statement1;
else
statement2;";"A. Decision coverage";"B. Condition coverage";"C. Statement coverage";"D. Path Coverage";2;
553;" _________ reviews are often held with just the programmer who wrote the
code and one or two other programmers or testers.";"A. Formal Reviews";"B. Peer Reviews";"C. Semi Formal Reviews";"D. All of the above";2;
554;" In ________ testing test cases i.e input to the software are created based on
the specifications languages";"A. State Transition Testing";"B. Random Testing";"C. Syntax Testing";"D. Penetration testing";3;
555;" White Box Testing";"A. Same as glass box testing";"B. Same as clear box testing";"C. Both A. and B.";"D. None of the above.";1;
556;" Verification activities during design stages are";"A. Reviewing and Inspecting";"B. Inspecting and Testing";"C. Reviewing and Testing";"D. Reviewing, Inspecting and Testing.";1;
557;" Equivalence partitioning consists of various activities:";"A. Ensure that test cases test each input and output equivalence class at least once";"B. Identify all inputs and all outputs";"C. Identify equivalence classes for each input";"D. All of the above";1;
558;" Static Analysis";"A. Same as static testing";"B. Done by the developers";"C. Both A. and B";"D. None of the above";3;
559;" Size of a project is defined in terms of all the following except";"A. Person days";"B. Person hours";"C. Calendar months";"D. None of the above";3;
560;"Testing responsibilities:
Tester 1 ﾖ Verify that the program is able to display images clearly on all 10 of the monitors
in the lab
Tester 2 - Make sure the program instructions are easy to use Security concerns are
important for which type of applications
Tester 3 ﾖ Verify that the calculation module works correctly by using both scripts and ad
hoc testing. Which term is used to refer to the testing that is performed by
Tester 3 in the above scenario?";"A. Unit testing";"B. Algorithm specific testing";"C. Compatibility testing";"D. Black box testing";4;
561;" Objective of review meeting is";"A. To identify problems with design";"B. To solve the problems with design";"C. Both A. and B";"D. None of the above.";3;
562;" QC is";"A. Phase building activity";"B. Intermediate activity";"C. End of Phase activity";"D. Design activity";3;
563;"Which tool store information about versions and builds of software and testware";"A. Test Management tool";"B. Requirements management tool";"C. Configuration management tool";"D. Static analysis too;";3;
564;" Testing Process comprised of";"A. Test Plan and Test Cases";"B. Test log and Test Status";"C. Defect Tracking";"D. All of the above";4;
565;"Preparing and automating test cases before coding is called";"A. Test first approach";"B. Test-driven development";"C. Both A. & B.";"D. None of the above";3;
566;" Which one is not characteristic of test management tool?";"A. Support for the management of tests and the testing activities carried out";"B. Interfaces to test execution tools";"C. Quantitative analysis related to tests";"D. Check for consistency and undefined requirements";4;
567;" Code Walkthrough";"A. Type of dynamic testing";"B. Type of static testing";"C. Neither dynamic nor static";"D. Performed by the testing team";2;
568;" Risk analysis talks about";"A. The data required for testing, the infrastructure requirements to manage the data as
well as the methods for preparing test data, requirements, converters and sources";"B. Details what types of tests must be conducted, what stages of testing are required and
outlines the sequence and timing of tests";"C. A testing goal. It is a statement of what the tester is expected to accomplish or validate
during a testing activity. These guide the development of test cases and procedures";"D. None of the above";2;
569;"What are the 2 major components taken into consideration with risk analysis?";"A. The probability the negative event will occur";"B. The potential loss or impact associated with the event";"C. Both A. and B.";"D. Neither A. nor B.";3;
570;" If the application is complex, but NOT data intensive and is to be tested on one
configuration and 2 rounds, the easiest method to test is";"A. Manual testing";"B. Automation testing";"C. Both";"D. None";1;
571;" Functional tests can be performed at all test levels";"A. True";"B. False";;;1;
572;" Structural Testing";"A. Same as black box testing";"B. Same as white box testing";"C. Same as functional testing";"D. None of the above.";2;
573;" In formal review, Rework: fixing defects found typically done by _________";"A. Moderator";"B. Author";"C. Reviewer";"D. Recorder";2;
574;" The _________ may facilitate the testing of components or part of a system by
simulation the environment in which the test object will run";"A. Test Design tool";"B. Test data preparation tool";"C. Test execution tool";"D. Test harness";4;
575;" Regression testing mainly helps in";"A. Re-testing fixed defects";"B. Checking for side-effects of fixes";"C. Checking the core gaps";"D. Ensuring high level sanity";2;
576;" Review is one of the methods of V&V. The other methods are";"A. Inspection";"B. Walkthrough";"C. Testing";"D. All of the above";4;
577;" Which review is inexpensive";"A. Informal Review";"B. Walkthrough";"C. Technical review";"D. Inspection";1;
